nome;cep
Travessa 1;96224899
Travessa 2;96224899
Travessa 3;96224899
Beco 1;96224899
Beco 2;96224899
Estrada Velha;96224899
Rua Emilio Fernandes Caseira;96224899
Rua da Praia;96224899
Rua M. F. Souza;96224899
Rua Orlando de Pinho Rodrigues;96224899
Rua O. V. Borges;96224899
Rua J. do C. Rocha;96224899
Rua Alvaro José Rodrigues;96224899
Estrada Corredor Tapume;96220899
Estrada Frederico Albuquerque;96223000
Rua Frederico Albuquerque;96223000
Avenida Cidade de Pelotas;96211001
Rua Castro Alves;96211380
Rua Comendador Henrique Pancada;96211330
Rua Coronel Pilar;96212180
Rua Gonçalves Dias;96211374
Rua Guarda Oscar Jesus Nunes;96211340
Rua José de Alencar;96211370
Rua Visconde de Mauá;96211031
Rua Visconde do Rio Branco;96211011
Rua Visconde do Rio Branco;96211012
Rua Álvaro Delfino;96202490
Rua Arnaldo Rodrigues Louzada;96202550
Rua Capitão Lemos Farias;96202370
Rua Darcy Sarmanho Vargas;96202440
Rua Doutor Belmiro Pegas;96202540
Rua Doutor Isnard Poester Peixoto;96202480
Rua Doutor Lázaro Ludovico Zamenhof;96202400
Rua Doutor Roberto Paganini Rocamora;96202450
Rua Doutora Rita Lobato;96202380
Rua Eduardo Campos Laranjo;96202560
Rua Engenheiro Thomas Paes da Cunha Filho;96202770
Rua Ernani Fornari;96202420
Rua General Bertoldo Klinger;96202410
Rua Humberto de Alencar Castelo Branco;96202460
Rua Martin Luther King;96202510
Rua Padre Constantino;96202530
Rua Professor Rúbio Brasiliano;96202500
Rua Senador Roberto Kennedy;96202760
Rua Augusto Duprat;96211602
Rua Buarque de Macêdo;96211653
Rua Conde Afonso Celso;96211670
Rua Dom Bosco;96211644
Rua Ernesto Alves;96211650
Rua Gonçalves Dias;96211694
Rua José Veríssimo;96211700
Rua Marquês de Maricá;96211680
Rua Minas Gerais;96211660
Rua Quinze de Novembro;96211590
Rua Saldanha Marinho;96211630
Rua Santa Catarina;96211600
Rua Venâncio Aires;96211610
Avenida Almirante Tamandaré;96202570
Rua Acácia Rio Grandense;96202580
Rua Américo Vespucio;96202650
Rua Cristóvão Jaques;96202670
Rua Gaspar de Lemos;96202630
Rua Martim Afonso de Souza;96202660
Rua Neto Antonio;96202574
Rua Nicolau Coelho;96202640
Rua Pero Vaz de Caminha;96202620
Rua Vasco da Gama;96202610
Avenida Osvaldo Aranha;96202020
Rua B;96202034
Rua Doutor Roque Aita Júnior;96202080
Rua Eduardo Ballester;96202040
Rua Engenheiro Luiz Arthur Ubatuba de Farias;96202050
Rua Helos Guardiola Velloso;96202030
Rua Major Ezidio da Fonseca;96202070
Rua Professor Fernando Bianchini;96202060
Avenida Modesto Rey Dornelles;96202590
Rua Alcides Lima Farias;96201490
Rua Allan Kardec;96202690
Rua Dom Manoel I;96202730
Rua Dom Vital;96202680
Rua Doutor Álvaro Costa;96201560
Rua Doutor Mário Werneck;96201470
Rua Doutor Pedro Bertoni;96201530
Rua Engenheiro Alfredo Huch;96201460
Rua Firmeza;96202740
Rua Heitor Vaughan Correa;96202732
Rua João Canuso;96201480
Rua Lino Neves;96202600
Rua Major Miguel Pereira;96201520
Rua Matheo Tonietti;96201590
Rua Paulo Leiria;96201540
Rua Professor Anselmo Dias Lopes;96201500
Rua Professor Antônio Gomes de Freitas;96201550
Rua Revocata de Mello;96201510
Rua Senador Salgado Filho;96201610
Rua Val Porto;96202700
Travessa Braile;96201570
Travessa General Dorneles;96201600
Travessa João Touguinha;96202736
Travessa José do Patrocínio;96201580
Rua F (Profirlub I);96213380
Rua Sete (Profilurb I);96213370
Estrada do Leonídio;96222703
Estrada dos Franceses;96222158
Rodovia BR-392 - do km 25,000 ao km 25,999;96222100
Rodovia BR-392 - do km 26,000 ao km 26,999;96222200
Rodovia BR-392 - do km 27,000 ao km 27,999;96222310
Rodovia BR-392 - do km 28,000 ao km 28,999;96222380
Rua A (Est Franceses);96222149
Rua A (Quintinha);96222642
Rua B (Quintinha);96222648
Rua C (Quintinha);96222658
Rua Cinco (Quintinha);96222652
Rua Cinco (Sto Antônio);96222572
Rua Cinqüenta;96222170
Rua Coronel Salgado;96222137
Rua Dez;96222167
Rua Dezesseis (Vl Nova);96222131
Rua Dezessete (Vl Nova);96222116
Rua Dezoito (Vl Nova);96222113
Rua Dois (Quintinha);96222644
Rua Dois (Sto Antônio);96222578
Rua Donata dos Santos Oliveira (Abel Cravo);96222706
Rua Doutor Nascimento;96222155
Rua Doze;96222161
Rua Germano Antonio Troca;96222828
Rua J (Sto Antônio);96222562
Rua João Meirelles Leite (Lot Engenho);96222788
Rua João Moreira;96222820
Rua João Moreira;96222700
Rua João Moreira;96222640
Rua João Moreira;96222580
Rua João Moreira;96222970
Rua Meireles Leite;96222152
